isbn13,description,loanCnt,keyword
9788960162662,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,415,
9788959042371,,237,
9788960163072,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,730,
9788960162556,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,351,
9791165953621,,450,
9788994730479,,163,
9788994730455,,120,
9788960162280,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,835,
9788993828740,"사진으로 보는 동물원 재미주 Zoo 『사파리 동물들』. 아프리카 초원에는 많은 동물들이 살고 있어요. 풀을 먹는 가젤과 영양, 고기를 먹는 하이에나와 사자도 이곳에 살아요. 코가 긴 코끼리와 목이 긴 기린, 멋진 뿔을 가진 블레스복도 이곳에 살지요. 여러 동물들을 만나러 아프리카 초원으로 사파리를 떠나요.",805,
9788960162822,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,572,
9791165953416,,1018,
9788993828955,"강아지는 ㄱ으로, 말은 ㅁ으로 시작하는 이름을 가졌습니다. 동물들의 모습을 조금만 보고도 이름을 맞출 수 있을까요? ㄱ에서 ㅎ이 들어간 동물들의 이름을 하나하나 익혀 보세요. 동물의 모습 일부분을 보고, 동물 이름을 맞추어 가는 동안 즐겁게 한글을 익힐 수 있을 것입니다.",704,
9788959042227,,447,
9791165951443,,2853,
