no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl
29,28,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9791164131914,74830,8,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/19874/27/cover/k432635431_1.jpg, https://data4library.kr/bookV?seq=5448424
30,30,(쿠키런) 한자런 :달리는 쿠키들의 한자 대모험,글: 조주희 ;그림: 이태영,서울문화사,2014,9788926385609,64710,9,711.4,"언어 > 한국어 > 음운, 음성, 문자",http://image.aladin.co.kr/product/9868/25/cover/8926385604_1.jpg, https://data4library.kr/bookV?seq=3404691
31,31,"동물 친구들, 우리가 돌볼래요",글: 함지슬 ;그림: 정은영,태동출판사,2009,9788984976740,74300,19,321,사회과학 > 경제학 > 경제각론,http://image.aladin.co.kr/product/4280/46/cover/e672436320_1.jpg, https://data4library.kr/bookV?seq=2420264
33,33,폴짝폴짝 메뚜기,양미진,한국톨스토이,2016,9788963294926,,7,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652707.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800683
34,34,세상에서 제일 큰 새 타조 - 동물 - 조류,"양미진 (지은이), 류동필 (그림), 허용선 (사진), 박찬열 (감수)",한국톨스토이,2014,9788963295183,,33,,,http://image.aladin.co.kr/product/6340/53/cover/8963295184_1.jpg, https://data4library.kr/bookV?seq=2800708
35,34,꽈당씨,로저 하그리브스 지음|박인용 옮김.,아이다움,2011,9791185064345,,6,,,, https://data4library.kr/bookV?seq=2861912
36,36,쿠바에서 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔 컬처그룹,2010,9788937847998,77900,23,949.1,역사 > 북아메리카(북미) > 서인도제도,https://bookthumb-phinf.pstatic.net/cover/062/359/06235982.jpg?type=m1&udate=20180227, https://data4library.kr/bookV?seq=2372824
37,36,윙윙 하늘을 나는 잠자리,고수산나,한국톨스토이,2016,9788963294872,,2,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652702.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800678
38,36,초원을 달리는 말,유영진,한국톨스토이,2016,9788963295039,,18,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652715.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800693
39,36,먹보씨,로저 하그리브스 지음|박인용 옮김.,아이다움,2011,9791185064291,,2,,,, https://data4library.kr/bookV?seq=2861908
40,40,(쿠키런) 한자런 :달리는 쿠키들의 한자 대모험,글: 조주희 ;그림: 이태영,서울문화사,2014,9788926384404,64710,11,711.4,"언어 > 한국어 > 음운, 음성, 문자",http://image.aladin.co.kr/product/11154/95/cover/8926384403_1.jpg, https://data4library.kr/bookV?seq=3452668
41,41,으랏차차 탄생 이야기,글: 허은실 ;그림: 김동수,웅진씽크빅,2006,9788901056890,77810,,491,자연과학 > 동물학 > 일반 동물학,http://image.aladin.co.kr/product/64/71/cover/8901056895_1.jpg, https://data4library.kr/bookV?seq=953192
42,41,(쿠키런) 한자런 :달리는 쿠키들의 한자 대모험,글: 조주희 ;그림: 이태영,서울문화사,2014,9788926384664,64710,12,711.4,"언어 > 한국어 > 음운, 음성, 문자",https://image.aladin.co.kr/product/11797/11/cover/8926384667_1.jpg, https://data4library.kr/bookV?seq=3614587
43,43,"열 살, 사랑",글: 박효미 ;그림: 유경화,웅진씽크빅,2022,9788901028507,74810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/732/77/cover/6000404065_1.jpg, https://data4library.kr/bookV?seq=175640
44,43,(쿠키런) 한자런 :달리는 쿠키들의 한자 대모험,글: 조주희 ;그림: 이태영,서울문화사,2014,9788926385371,64710,8,711.4,"언어 > 한국어 > 음운, 음성, 문자",https://bookthumb-phinf.pstatic.net/cover/111/705/11170501.jpg?type=m1&udate=20161007, https://data4library.kr/bookV?seq=3360468
46,46,깊은 강,엔도 슈사쿠 [지음];유숙자 옮김,민음사,2007,9788937461606,04800,160,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/100/33/cover/8937461609_2.jpg, https://data4library.kr/bookV?seq=2421366
47,46,참새 (짹짹짹 귀여운),유영진,한국톨스토이,2016,9788963295169,,31,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652727.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800706
49,48,타조,글: 정미금 ;그림: 최주석,통큰세상,[201,9788965092377,74400,39,400,자연과학 > 자연과학 > 자연과학,http://image.aladin.co.kr/product/6962/95/cover/896509237x_2.jpg, https://data4library.kr/bookV?seq=2804773
50,50,밤의 사냥꾼 올빼미와 부엉이,유영진,한국톨스토이,2016,9788963295145,,29,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652725.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800704
51,50,거꿀 씨,로저 하그리브스 지음 ;박인용 번역·감수,아이다움,c201,9791185064376,74840,9,843,문학 > 영미문학 > 소설,, https://data4library.kr/bookV?seq=2861915
52,52,백점빵,배욱찬 글·그림,책과콩나무,2014,9788994077697,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/3907/24/cover/8994077693_1.jpg, https://data4library.kr/bookV?seq=2030063
53,52,재채기씨,로저 하그리브스 지음|박인용 옮김.,아이다움,2011,9791185064338,,5,,,, https://data4library.kr/bookV?seq=2861911
56,54,공상씨,로저 하그리브스 지음|박인용 옮김.,아이다움,2014,9791185064413,,13,,,, https://data4library.kr/bookV?seq=2861919
57,57,큰 뿔 장수풍뎅이와 큰 턱 사슴벌레 - 동물 - 곤충류,"김사벳 (글), 류동필 (그림), 이수영 (사진), 장이권 (감수)",한국톨스토이,2014,9788963294933,,8,,,http://image.aladin.co.kr/product/5991/32/cover/8963294935_1.jpg, https://data4library.kr/bookV?seq=2646922
58,57,음매 음매 소와 꿀꿀 돼지,양미진,한국톨스토이,2016,9788963295060,,21,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652718.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800696
59,57,엉금엉금 거북,조경숙,한국톨스토이,2016,9788963295251,,40,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652734.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800715
60,57,참새,글: 함영현 ;그림: 정병수,통큰세상,,9788965092315,74400,33,400,자연과학 > 자연과학 > 자연과학,http://image.aladin.co.kr/product/6962/95/cover/8965092310_2.jpg, https://data4library.kr/bookV?seq=2804767
61,57,눈사람씨,로저 하그리브스 지음|박인용 옮김.,아이다움,2011,9791185064352,,7,,,, https://data4library.kr/bookV?seq=2861913
62,62,이게 정말 나일까?,요시타케 신스케 글·그림 ;김소연 옮김,김영사,2015,9788934971634,77830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/095/870/09587075.jpg?type=m1&udate=20180214, https://data4library.kr/bookV?seq=2880234
