isbn13,description,loanCnt,keyword
9788954603218,"&quot;쉿! 집중해. 너희 집 화장실에도 두꺼비가 나타날지 몰라.&quot; 『화장실에 사는 두꺼비』는 일상생활 속의 판타지를 잘 그려내는 작가 김리리의 작품으로, 변비에 걸린 준영이가 화장실 속에 사는 두꺼비를 만나게 되는 이야기다. 특이한 인사법인 '꾸루룩'과 '꾸루룩꾸루룩'으로 만나게 되는 두꺼비는 팍팍한...",28109,"두꺼비,엄마,성장,준영,화장실,오정택,문학동네,김리리,동화 명작 고전,피곤,오해,유쾌,일도,자신,정감,화가,주제,형식,참신,처음,준영이네,영원,역량,동화,모습,변비,변화,보고,볼일,생생,섬세,소개,소심,수챗구멍,시원,아이,그림"
9791164385843,"&lt;쿠키런 어드벤처&gt;, &lt;쿠키런 펀펀 상식 시리즈&gt;, &lt;쿠키런 한자런&gt;에 이은 쿠키런 베스트셀러 학습만화 시리즈 &lt;쿠키런 서바이벌 대작전&gt; 제26권. 배를 잡는 코믹함과 유용한 안전상식디 담겨있는 학습만화이다.",36584,"쿠키런 서바이벌 대작전,만화,쿠키런 펀펀 상식 시리즈,쿠키런 어드벤처,신비아파트 한자 귀신,학습만화,코믹 드래곤 플라이트,서울문화사,쿠키런 한자런,사이보그,출판사,만화 일반,김기수,김강현,소개,제26권,잠입,작가예요,친구,이온맛,카카오,쿠키런,행성,코믹,쿠키로봇,푸른,학습,한자,유쾌,유용,원격,비밀,부터,베스트셀러,배신,뜻밖,단서,다양,과거,비밀병기,상상력,상식,연구소,어린이,안전상식디,안전상식,안전,시리즈,스토리,선물"
9791164386062,"&lt;쿠키런 어드벤처&gt;, &lt;쿠키런 펀펀 상식 시리즈&gt;, &lt;쿠키런 한자런&gt;에 이은 쿠키런 베스트셀러 학습만화 시리즈 &lt;쿠키런 서바이벌 대작전&gt; 제27권. 상상력과 모험심을 키워주는 서바이벌 탐험 학습만화다.",36108,"쿠키런 서바이벌 대작전,만화,쿠키런 어드벤처,신비아파트 한자 귀신,코믹 드래곤 플라이트,쿠키런 펀펀 상식 시리즈,쿠키런 한자런,서울문화사,학습만화,김강현,소개,만화 일반,김기수,상상력,출판사,진실,재회,좌표,제27권,충격적,카카오,한자,쿠키,쿠키런,친구,탐험,학습,작가예요,유쾌,외계,베스트셀러,모험심,마음,로봇,등장,도넛,다양,냉동고,부터,비밀,어린이,안전상식,안전,시리즈,스토리,선물,서바이벌,상식,게임"
9791190182522,"구수한 입담을 자랑하는 만능 요리 연구가 백종원이 들려주는 화려하고 다채로운 중국 음식 이야기와 중국 현지에서 펼쳐지는 아이들의 예측할 수 없는 요리 대결, 그리고 주제별로 알아보는 중국의 역사 문화 상식까지, 이웃 나라 중국을 쉽고 재미있게 알아가는 꽉 찬 구성이다.",63590,"중국,백종원의 도전 요리왕,역사,문화,음식,VS,백종원,상식,세계,누구,백종원표,만화,아이들,중국식,황금,학습,레시피,대표,백종원의 식당 조리비책,무조건 성공하는 작은식당,베이징,백종원의 장사 이야기,퀴즈왕,백종원의 혼밥 메뉴,쓰촨,초짜도 대박나는 전문식당,2권,백종원의 육,모습,무술,4장,3장,대결,세계사,바오쯔,2장,기초편,별책,수도,나라,궈바오러우,후난,대륙,예측,위즈덤하우스 미디어그룹,부록,요리왕,연구가,5장,만리장성"
9788937883309,"&lt;내일은 실험왕&gt; 집필진이 새롭게 펴낸 본격 대결 과학발명 만화 시리즈. 생활 속 발명품을 통해 과학 원리를 배우고, 창의적 사고를 키워 주는 발명 만화이다. 3권에서는 빛에 관한 다양한 발명품을 만드는 과정을 통해 자연스럽게 과학 이론을 접하고, 직접 만들어 볼 수 있도록 상세히 다루고 있다.",89870,"발명,전구,과학,반사,원리,과정,실험왕,발명품,POINT,태양,그림자,단원,핵심,교과서,만화,대결,보고,다양,고도,축구,정보,이용한,키트,이론,굴절,학습,절단기,분산,사고,아이디어,초등학교,해시계,놀이,전기,고도계,샤프심,성질,저항,게임,스티로폼,탐구,간이,직진,이용,교체기,편리,성취도도,수록,교과,3권에"
9788936433598,"2016년 맨부커상 수상작. 10년 전 작가 한강은 '내 여자의 열매'라는 단편소설을 썼다. 한 여자가 아파트 베란다에서 식물이 되고, 함께 살던 남자는 그녀를 화분에 심는 이야기였다. &lt;채식주의자&gt;는 언젠가 그 변주를 쓰고 싶다는 바람에서 출발했다. 표제작 '채식주의자', 2005년 이상문학상 수상작인 '몽고반점', 그리고 '나무 불꽃', 세 편의 중편으로 구성된 연작 소설로, 상처받은 영혼의 고통과 식물적인 상상력이 결합해 섬뜩한 아름다움을 뿜어낸다.",226781,"영혜,채식주의자,몽고반점,내 여자의 열매,나무 불꽃,욕망,남편,한강,기억,육식,장면,인혜,시선,상상력,소년이 온다,식물적,죽음,거부,형부,자신,상처,어린시절,발표,창비,아내,주인공,나무,수상작,이상문학상,구성,희랍어 시간,이해,맨부커상,바람이 분다 가라,그대의 차가운 손,문학과사회,언니,결합,붉은 닻,서랍에 저녁을 넣어 두었다,여수의 사랑,인물,작가의 말,문제,예술혼,2005년,처제,검은 사슴,결국,노랑무늬영원"
9788937884054,초등학생들의 신나는 실험 이야기를 통해 아이들에게 어려운 과학 원리와 용어를 쉽고 재미있게 전달하는 실험 대결 만화 &lt;내일은 실험왕&gt;시리즈. 22권에서는 우리가 살고 있는 지구의 탄생부터 오늘날에 이르기까지 역사를 살펴본다.,93162,"실험,과학,지구,화석,역사,지층,대결,과정,호박,아이들,연령,원리,point,환경,내용,교과서,핵심,시대,지질,이해,용어,정보,측정,상대,비밀,발굴,내부,학습,생물,22권,이용,구조,보고,이론,탄생,키트,만화,생성,단원,실험왕,감수,신생대,단서,흥미,소금,세밀,가족,스테노,과거,개념"
9791162336182,"본격 에듀테인먼트 만화 '서바이벌 만화 과학상식'시리즈. 재미있는 만화를 통해 과학상식을 효과적으로 전달한다는 평가를 받으며 권마다 베스트셀러를 기록했고, 해외에서도 열렬한 지지를 받고 있다. &lt;비행기 사고에서 살아남기&gt; 1권에서는 지오와 케이가 비행기를 타고 해외여행을 떠나게 되면서 펼쳐진다.",67520,"만화,서바이벌 만화 과학상식,비행기 사고에서 살아남기,과학상식,서바이벌,시리즈,사건,귀신 별곡,메시지,범인,신 구미호,결정적,살아남기,증거,테러범,일본,효과적,무사,미국,미래엔,에듀테인먼트,벌이,베스트셀러,태국,수상,해외,비행기,본격,말레이시아,협박,평가,중국,전달,열렬,업그레이드,케이,재미,2권에,추리,곰돌이 co,화물칸,한현동,테러,탑승객,지지,대만,정보,기내,인도네시아,과학 일반"
9788926380963,"인기 모바일 게임 [쿠키런]을 바탕으로 구성한 학습만화이다. 세계 도시의 주요 명소와 생활문화 정보가 본문 속에 자연스럽게 소개되어 있고, 유익하고 재미있는 세계 도시 OX퀴즈와 자세하고 친절한 설명을 수록하였다.",50400,"학습만화,세계,도시,송도수,서정은,서울문화사,콘텐츠,스토리,요약,유익,인기,퀴즈,자세,정보,쿠키런,창의력,친절,자료,소개,설명,게임,구성,그림,기발,다양,명소,모바일,바탕,본문,사진,상상력,생활문화,OX"
9791162337561,개성 만점 주인공들이 박진감 넘치는 실험 대결을 통해 초등학교 고학년과 중학 교과서에 수록된 다양한 실험 속의 과학 이론과 용어들을 쉽고 재미있게 설명하고 있다. 44권에서는 '로켓'과 '핵무기'에 관한 과학 정보를 한눈에 보여 주는 실험이 펼쳐진다.,69393,"로켓,과학,실험,내일은 실험왕,핵무기,원리,교과서,정보,폭탄,대결,발사,역사,다양,에너지,단원,POINT,학습,모형,피해,기술,이해,중학교,키트,아이들,원자,물체,운동,수소,중력,위치,핵심,초등학교,이론,흥미,44권,용어,다단식,탱탱볼,과학자,정리,빨대,5학년,2학기,생활,개성,설명,고학년,교사,교육,구조"
9791164380848,"쿠키들의 신나는 세계여행!&#x0D;&#x0D;서울문화사 [쿠키런 어드벤처]는 세계 여러 나라의 명소에 대한 상식과 정보를 생생하고 실감 나는 그림으로 전달하는 세계문화학습만화입니다.  OX 퀴즈, 방대한 사진 자료, 흥미로운 설명, 명소를 직접 여행하는 듯한 3D 그림을 더해 즐거운 세계 여행이 책 한 권으로...",42365,
9788949124353,"2017년 제5회 스토리킹 수상작. 자신이 복제인간이라는 사실을 알게 된 한 소년이 겪는 가슴 찡한 성장을 담은 작품으로, ‘복제인간’을 다룬 국내 최초의 SF 성장소설이다. 솔직 발랄한 매력을 가진 봉구의 자아 찾기 여정이 코 끝 찡하면서도 유쾌하게 펼쳐진다.",76895,"복제인간 윤봉구,봉구,어린이,복제인간,인간,심사위원,자신,비밀,복제,고민,짜장면,2017년,최초,수상작,진짜루,임은하,비룡소,엄마,심사위원단,점수,사람,최종,결과,문제,가짜,국내,가족,사실,스토리킹,심사평 중에서,생각,반올림,만점,본심작,과학자,과학적,윤봉구,50퍼센트,스무고개 탐정과 마술사,발견,감동,어른,SF,세상,독자,맛집,소재,동화,윤인주,박사"
9788991422155,"새하얀 양 무리 속에 외모 때문에 소외된 주인공 까만 아기 양의 고민과 방황, 개성을 무시한 무조건적인 복종을 요구하는 양치기 개 폴로와의 갈등, 그리고 까만 아기 양이 자신의 소중함을 찾아가는 활약상을 담은 초등학교 저학년 동화이다.",43492,"아기,특별함과 존중,양의,엘리자베스 쇼,외국창작동화,유동환,일본,저학년,동화 명작 고전,푸른그림책,초등학교,주인공,양치기,푸른,영미권,비친,폴로,외모,요구,초원,유럽,인형극,자신,차이,활약,아이들,마음,동화,대상도서,다름,꼬마,공연,고민,개성,무리,무시,무조건적,아동,소중,소외,부문,복종,번역,배경,방황,갈등"
9780152023898,"MR. PUTTER AND HIS FINE CAT, TABBY, ARE GOING FOR A TRAIN RIDE WITH THEIR NEIGHBORS, MRS. TEABERRY AND HER GOOD DOG, ZEKE. THEY'VE PLANNED THE PERFECT AFTERNOON TRIP. BUT WHEN THEY GET TO THE STATION, THEY'RE IN FOR A BIG SURPRISE: NO PETS ARE ALLOWED ON THE TRAIN! IT LOOKS...",14122,"Harcourt,신시아 라일런트,아서 하워드,액션 어드벤처"
9788955823240,"우리네 가족의 일상을 실감 나는 그림으로 담아내는 김영진 작가의 그림책이다. 엄마와는 또 다른 아빠와 아이의 일상, 그리고 그 둘의 관계가 신선한 울림을 선사한다. 몸짓, 말투, 행동 하나하나가 붕어빵처럼 꼭 닮은 아빠와 아이의 모습을 발견할 수 있다.",76039,"아빠,그린이,아이,하루,엄마,얼굴,일상,장면,김영진,생각,약속,모습,기분,일과,표지,육아,회사,퇴근,가족,아침,시간,것들,출근,화제의 신간,2015년,보고,보기이,어린이청소년 새책,마음,오늘,책꽂이,시작,엄마는 회사에서 내 생각 해,아빠는 회사에서 내 생각 해,2일자,마무리,길벗어린이,본문,붕어빵,발견,희망,5월,오기,열심,고민,담담,실감,관계,신작,단숨"
