"통계분류(1)",통계분류(2),통계분류(3),2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),통계분류(3),사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,훌륭한 사람이 되기 위해,책을 전혀 읽지 않는다,기 타,사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,훌륭한 사람이 되기 위해,책을 전혀 읽지 않는다,기 타,무응답,사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,훌륭한 사람이 되기 위해,기 타,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,기 타,사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,기 타,사례수,새로운 지식 정보습득,책 읽는 것이 즐거워서,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,학교 숙제를 위해서,학교 공부에 도움이 되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,기 타,사례수,새로운 지식 정보습득,책 읽는 것이 즐거워서,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,학교 숙제를 위해서,학교 공부에 도움이 되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,사례수,마음의 성장(위로)을 위해서,새로운 지식 정보습득,책 읽는 것이 즐거워서,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,학교 숙제를 위해서,학교 공부에 도움이 되므로,친구들과이야기를잘하기위해서,사례수,학업(일)에 필요해서,책 읽는 것이 재미있어서,자기 계발을 위해,드라마영화의 원작을 읽고 싶어서,관심 주제에 대한 자료 수집을 위해,마음의 성장(위로)을 위해서,시사 이슈나 최신 정보를 얻기 위해,기 타
"학교급*성별",고등학교,남자,500,18.6,5.9,14.7,8.8,26.6,11,5.7,3.3,3,2.4,504,31.8,13.9,11.4,7.2,1,2.5,10.9,6.5,6.1,4.8,1.9,1,1,486,32.8,17.2,10.1,9,1.9,1.7,10.2,6.5,4.1,3.8,2.7,34.7,19.6,11.5,7.1,0.8,2.9,11.5,6.7,3.5,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,389,35,24.7,14.8,6.2,9.4,6,1.8,2.1
"학교급*성별",고등학교,여자,500,17.5,4.5,12.8,9,26.5,12.4,10,3.9,0.8,2.4,496,23.8,16,12.8,7,0.8,3.5,14.6,7.7,6.6,3.1,1.4,2.3,0.5,514,25.5,15.2,9.2,11.2,0.8,3.7,11.9,9.3,7.1,4.3,2,30.9,19.5,10.2,9.9,0.4,2.6,11.1,9.1,5.2,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,332,35,28.5,13.6,7.5,6.7,7.2,0.6,0.9
"학교급*학년",초등학교,4학년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,327,38,8,8.9,4.3,19.5,6,11.2,276,41.1,7.8,5.9,6.5,1.9,1.3,19.6,2.5,12.2,1.3,305,38.6,19.2,6.3,7,6.9,4.1,9.3,2.1,1.6,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,256,15.3,39,14.6,4.2,8.4,9.9,1.6,6.9
"학교급*학년",초등학교,5학년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319,33.3,8,11.9,5.2,16.2,5.6,13.1,287,34.8,9.9,9.8,8.7,2,2.5,15,4.9,10.8,1.5,302,35.7,15.2,10.1,6.5,8.5,6.1,11,2.1,1.2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,284,27.1,28,12.4,6.3,9.4,3.8,2.1,10.8
"학교급*학년",초등학교,6학년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,352,29.5,9.3,15.1,4.5,16.2,5.1,13,280,36.6,13.1,10.2,7,1.3,3.9,13.5,3.6,10,0.8,319,30.4,14.5,8.5,11,9.6,9.6,6.2,1,3.7,5.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275,25.9,23.7,10.5,9.8,9,4.9,3,13.2
"학교급*학년",중학교,1학년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,333,25.8,10.4,17,6.8,13.5,5.6,11.8,313,35.8,11.8,11.7,7.6,1.1,3.6,13,4.7,10.1,0.5,324,33.1,12,12.3,11.1,11,6.7,6.1,1.1,3.1,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,265,32.1,23.2,15.6,11.8,3.7,4.6,1.6,7.6
"학교급*학년",중학교,2학년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,314,23.2,11,18.8,8.5,13.8,6.5,9.8,352,32.3,12.4,11.1,9,1,2.1,15.5,7.3,9,0.3,327,27.1,17.2,12.6,8.3,10,9.3,6.9,1.5,3.4,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,28,24.9,12.8,17.1,8.1,2.1,2.7,4.4
"학교급*학년",중학교,3학년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321,24,13.1,17.2,9.7,14,8.2,8.5,336,30,17.4,9.7,9.1,0.5,2.9,17.6,6.2,6.2,0.5,373,26.4,18.5,15.8,9.3,9.7,7.8,3.8,2,3.2,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257,32.3,27.5,16.8,8.4,5.9,3.9,1.7,3.4
"학교급*학년",고등학교,1학년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,320,19.1,14.4,14.4,12.1,15.2,8.2,9.7,299,22.2,19.7,4.8,17.6,0.3,3.9,15.9,7.6,7.3,0.7,375,23.2,18.8,15.5,4.8,14.6,15,3.9,0.9,1.3,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,288,31.3,27,14.5,9.1,8.7,6.3,1.8,1.2
"학교급*학년",고등학교,2학년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319,20,15.4,15,14.6,12.3,7.8,7.6,289,27.1,23.1,6.2,14.2,0.5,1,15.4,7,5.1,0.4,417,20.6,18.8,18.2,4.8,17.8,10.1,3.2,1.3,2,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237,38.4,28.8,13.9,4.7,7.3,5.4,0.6,0.8
